ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.518506,6.492256,4.609309,4.590692,15.9907,0.2754329,3.050145,6.501841,,NONE
-1,6.518506,6.492256,4.609309,4.590692,15.9907,0.2754338,3.047218,6.631641,,NONE
-1,6.518513,6.492255,4.609309,4.590692,15.9907,0.2754327,3.045589,6.703286,,NONE
-1,6.518515,6.492254,4.609309,4.590692,15.9907,0.275433,3.042822,6.824076,,NONE
-1,6.518513,6.492254,4.609309,4.590692,15.9907,0.275433,3.041054,6.900707,,NONE
-1,6.518515,6.492254,4.609309,4.590692,15.9907,0.2754335,3.038646,7.004384,,NONE
-1,6.518513,6.492254,4.609309,4.590692,15.9907,0.2754338,3.036152,7.110999,,NONE
-1,6.518516,6.492251,4.609309,4.590692,15.9907,0.2754328,3.033897,7.206727,,NONE
-1,6.518516,6.49225,4.609309,4.590692,15.9907,0.2754311,3.03119,7.320946,,NONE
-1,6.518516,6.49225,4.609309,4.590692,15.9907,0.2754338,3.028921,7.41605,,NONE
-1,6.518517,6.492249,4.609309,4.590692,15.9907,0.2754333,3.02682,7.503641,,NONE
-1,6.518517,6.492249,4.609309,4.590692,15.9907,0.2754315,3.024389,7.604536,,NONE
-1,6.518517,6.492249,4.609309,4.590692,15.9907,0.2754327,3.0215,7.72362,,NONE
-1,6.518517,6.492249,4.609309,4.590692,15.9907,0.2754333,3.019488,7.806186,,NONE
-1,6.518517,6.492248,4.609309,4.590692,15.9907,0.2754278,3.017106,7.903483,,NONE
-1,6.518519,6.492248,4.609309,4.590692,15.9907,0.275432,3.013639,8.044133,,NONE
-1,6.518517,6.492247,4.609309,4.590692,15.9907,0.2754281,3.012181,8.103063,,NONE
-1,6.518519,6.492244,4.609309,4.590692,15.9907,0.2754277,3.009704,8.20285,,NONE
-1,6.518519,6.492244,4.609309,4.590692,15.9907,0.2754278,3.00727,8.300406,,NONE
-1,6.518519,6.492244,4.609309,4.590692,15.9907,0.2754313,3.004391,8.415334,,NONE
-1,6.518519,6.492242,4.609309,4.590692,15.9907,0.2754331,3.002203,8.502347,,NONE
-1,6.51852,6.492243,4.609309,4.590692,15.9907,0.275433,2.999246,8.619513,,NONE
-1,6.518527,6.492242,4.609309,4.590692,15.9907,0.2754322,2.997066,8.705576,,NONE
-1,6.518526,6.492241,4.609309,4.590692,15.9907,0.275433,2.994049,8.824179,,NONE
-1,6.518527,6.49224,4.609309,4.590692,15.9907,0.2754273,2.992045,8.902741,,NONE
-1,6.518527,6.492238,4.609309,4.590692,15.9907,0.2754298,2.989516,9.001535,,NONE
-1,6.518528,6.492238,4.609309,4.590692,15.9907,0.2754323,2.986367,9.124137,,NONE
-1,6.518528,6.492238,4.609309,4.590692,15.9907,0.2754293,2.98436,9.202058,,NONE
-1,6.518528,6.492238,4.609309,4.590692,15.9907,0.2754326,2.981791,9.301485,,NONE
-1,6.518528,6.492237,4.609309,4.590692,15.9907,0.2754328,2.978962,9.410698,,NONE
-1,6.518529,6.492237,4.609309,4.590692,15.9907,0.2754338,2.976522,9.504638,,NONE
-1,6.518529,6.492236,4.609309,4.590692,15.99071,0.2754323,2.973264,9.629663,,ACCELERATE
-1,6.518521,6.492244,4.609303,4.590698,15.99071,0.2754292,2.971368,9.702282,,ACCELERATE
-1,6.518527,6.492242,4.609304,4.590697,15.99071,0.275429,2.968705,9.804037,,ACCELERATE
-1,6.518527,6.492242,4.609304,4.590697,15.99071,0.2754328,2.965468,9.92738,,ACCELERATE
-1,6.518523,6.492243,4.609303,4.590698,15.99071,0.2754299,2.963271,10.01089,,ACCELERATE
-1,6.518521,6.492242,4.609302,4.5907,15.99071,0.2754322,2.96079,10.10502,,NONE
-1,6.518524,6.492239,4.609303,4.590699,15.99071,0.2754322,2.957159,10.24245,,NONE
-1,6.518523,6.492242,4.609301,4.590701,15.99072,0.2754305,2.955472,10.30615,,NONE
-1,6.518518,6.492249,4.609297,4.590704,15.99072,0.2754326,2.952705,10.41049,,NONE
-1,6.518514,6.49225,4.609296,4.590705,15.99072,0.2754326,2.950191,10.5051,,NONE
-1,6.518518,6.492247,4.609297,4.590704,15.99072,0.2754314,2.947517,10.60559,,NONE
-1,6.518523,6.492246,4.609298,4.590703,15.99072,0.2754335,2.944293,10.72643,,NONE
-1,6.518521,6.492247,4.609296,4.590705,15.99072,0.2754326,2.942241,10.80323,,NONE
-1,6.518518,6.492245,4.609297,4.590704,15.99072,0.2754312,2.939563,10.90335,,NONE
-1,6.518519,6.492242,4.609297,4.590704,15.99072,0.2754334,2.93575,11.04551,,NONE
-1,6.51852,6.492243,4.609297,4.590704,15.99072,0.2754326,2.934146,11.10527,,NONE
-1,6.518525,6.492241,4.609298,4.590703,15.99072,0.2754315,2.931505,11.20353,,NONE
-1,6.51852,6.492241,4.609297,4.590704,15.99072,0.2754325,2.928744,11.30607,,NONE
