ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489736,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE
-1,6.520921,6.489841,4.611082,4.588919,15.98893,0.2757237,3.105009,0.4491926,,ACCELERATE
-1,6.520917,6.489847,4.611077,4.588924,15.98893,0.2757318,3.10501,0.465304,,ACCELERATE
-1,6.520918,6.489848,4.611077,4.588924,15.98893,0.2757353,3.105009,0.4749255,,ACCELERATE
-1,6.520915,6.48985,4.611075,4.588926,15.98893,0.2757428,3.10501,0.5066826,,ACCELERATE
-1,6.520905,6.489857,4.611071,4.588931,15.98894,0.2757453,3.10501,0.6166537,,ACCELERATE
-1,6.520902,6.489863,4.611066,4.588935,15.98894,0.2757443,3.10501,0.702275,,ACCELERATE
-1,6.520892,6.48987,4.611061,4.58894,15.98895,0.275744,3.10501,0.8024465,,ACCELERATE
-1,6.520888,6.489877,4.611056,4.588945,15.98895,0.275744,3.10501,0.9028562,,ACCELERATE
-1,6.520878,6.489883,4.611052,4.58895,15.98896,0.2757449,3.10501,1.000187,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757432,3.10501,1.10428,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757439,3.10501,1.203934,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757434,3.105011,1.300586,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757429,3.105011,1.401694,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.50332,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.60245,,ACCELERATE
-1,6.520881,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.702818,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757431,3.105011,1.800733,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275745,3.105011,1.9012,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275745,3.105011,2.002858,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105011,2.103904,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105011,2.20077,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105011,2.301863,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105011,2.401747,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757442,3.105011,2.504493,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105011,2.60052,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757447,3.105011,2.702898,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105011,2.80389,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275744,3.105011,2.902181,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757442,3.105012,3.00065,,ACCELERATE
-1,6.520905,6.489861,4.611048,4.588953,15.98896,0.2757245,3.149327,3.10655,,ACCELERATE
-1,6.520961,6.489805,4.611039,4.588962,15.98897,0.2757054,3.331028,3.204352,,ACCELERATE
-1,6.521031,6.489735,4.611033,4.588968,15.98898,0.275698,3.648777,3.302628,,ACCELERATE
-1,6.52117,6.489598,4.611009,4.588993,15.98897,0.2863057,4.094628,3.401759,,ACCELERATE
-1,6.521409,6.489357,4.611072,4.58893,15.98893,0.2777528,4.658095,3.500968,,ACCELERATE
-1,6.521538,6.489232,4.611134,4.588868,15.98886,0.2799895,5.367836,3.603922,,ACCELERATE
-1,6.521692,6.489079,4.611203,4.588798,15.9888,0.278724,6.136119,3.700293,,ACCELERATE
-1,6.521909,6.488859,4.611278,4.588724,15.98872,0.279331,7.067282,3.80424,,ACCELERATE
-1,6.5221,6.488671,4.611362,4.58864,15.98864,0.2790789,8.045687,3.90347,,ACCELERATE
-1,6.522349,6.488424,4.611459,4.588542,15.98854,0.2792065,9.119969,4.004347,,ACCELERATE
-1,6.522612,6.488159,4.611576,4.588425,15.98842,0.279136,10.233,4.102422,,ACCELERATE
-1,6.522903,6.487861,4.611712,4.58829,15.98829,0.2791784,11.4192,4.201581,,ACCELERATE
-1,6.523245,6.487524,4.611876,4.588126,15.98812,0.2791538,12.68753,4.302938,,ACCELERATE
-1,6.52362,6.487155,4.612061,4.587941,15.98794,0.2791647,13.97659,4.402141,,ACCELERATE
-1,6.524025,6.48675,4.612271,4.58773,15.98772,0.2791587,15.32686,4.502806,,ACCELERATE
-1,6.524457,6.486311,4.612506,4.587495,15.98749,0.2791615,16.66584,4.600021,,ACCELERATE
-1,6.524944,6.485829,4.612768,4.587233,15.98722,0.2791576,18.09418,4.701407,,ACCELERATE
-1,6.525467,6.485314,4.613061,4.58694,15.98693,0.2791594,19.52404,4.800962,,ACCELERATE
-1,6.526027,6.484745,4.613382,4.58662,15.98661,0.2791577,21.00413,4.902342,,ACCELERATE
-1,6.526644,6.484142,4.613731,4.58627,15.98626,0.2791582,22.48155,5.002152,,ACCELERATE
-1,6.527278,6.483504,4.614104,4.585897,15.98589,0.2791591,23.98582,5.103152,,ACCELERATE
-1,6.535616,6.475249,4.61493,4.58508,15.98477,0.2791601,25.46981,5.202781,,LEFT_ACCELERATE
-1,6.85046,6.195085,4.657907,4.548882,15.94228,0.2791587,26.93985,5.301558,,LEFT_ACCELERATE
-1,7.139797,5.958552,4.763134,4.451567,15.83989,0.2791606,28.42334,5.4014,,ACCELERATE
-1,7.289543,5.825049,4.8625,4.35226,15.74169,0.2791611,29.88986,5.500075,,ACCELERATE
-1,7.435282,5.694772,4.960109,4.254611,15.64466,0.2791599,31.41979,5.602993,,ACCELERATE
-1,7.515617,5.5749,5.049834,4.164858,15.55585,0.27916,32.87311,5.700744,,ACCELERATE
19.9524,7.523628,5.456375,5.143152,4.074179,15.46306,0.2791605,34.37689,5.801894,,LEFT_ACCELERATE
19.73959,7.839505,5.118122,5.321165,3.939798,15.30703,0.2791612,35.85302,5.901634,,LEFT_ACCELERATE
19.12819,8.028374,4.840232,5.58131,3.702543,15.05282,0.2791634,37.33881,6.002866,,ACCELERATE
17.73352,7.865252,4.884487,5.747766,3.486959,14.80162,0.279161,38.77915,6.101027,,LEFT_ACCELERATE
17.09666,7.87634,4.821485,5.873777,3.339157,14.50714,0.2791625,40.24662,6.201567,,LEFT_ACCELERATE
16.63305,7.916471,4.727406,6.02005,3.1897,14.11107,0.2791648,41.68666,6.301892,,LEFT_ACCELERATE
15.25826,7.608101,5.213505,6.08038,3.123942,13.69274,0.2791615,43.13639,6.403198,,ACCELERATE
14.09269,7.272257,6.175838,6.037501,3.186538,13.28424,0.2791596,44.54337,6.50157,,LEFT_ACCELERATE
13.79972,7.142019,6.64925,5.968193,3.268021,12.76748,0.2791708,45.95712,6.602778,,LEFT_ACCELERATE
14.14459,7.221431,6.2583,5.938784,3.277115,12.08514,0.2791826,47.27682,6.702766,,LEFT_ACCELERATE
13.95832,7.171821,6.518964,5.949172,3.26954,11.28003,0.2791798,48.50718,6.801599,,LEFT_ACCELERATE
14.16395,7.199292,6.364253,5.953207,3.264086,10.37118,0.2791832,49.66081,6.900381,,LEFT_ACCELERATE
15.35703,7.519068,5.401588,6.02185,3.178141,9.292666,0.2792056,50.68483,7.000566,,LEFT_ACCELERATE
17.68037,8.165468,4.359406,6.238277,2.977236,8.047812,0.2792124,51.49334,7.100687,,LEFT_ACCELERATE
-1,8.849113,3.606573,6.581644,2.668354,6.66835,0.2791987,52.09559,7.202124,,LEFT_ACCELERATE
-1,9.260884,3.126855,6.915889,2.331851,5.278606,0.2791828,52.53957,7.300196,,LEFT_ACCELERATE
-1,9.235498,2.952805,7.134542,2.068947,3.848853,0.2791697,52.95481,7.400184,,ACCELERATE
-1,8.839622,3.190091,7.217093,1.985118,2.418614,0.2791653,53.41203,7.501034,,RIGHT_ACCELERATE
18.41926,8.056714,4.524756,7.147572,2.188492,0.999586,0.2791749,53.98788,7.604014,,RIGHT_ACCELERATE
14.61673,7.195196,7.866567,6.919788,2.725789,-0.2807246,0.2791734,54.66922,7.701519,,RIGHT_ACCELERATE
12.7634,6.428209,10.92686,6.474301,3.456102,-1.573841,0.279164,55.41918,7.801894,,LEFT_ACCELERATE
12.40622,5.808055,11.5518,5.872892,4.126259,-2.892367,0.279163,56.11159,7.901969,,LEFT_ACCELERATE
13.81581,5.422612,10.44532,5.248143,4.548661,-4.275141,0.2791756,56.65904,8.002021,,LEFT_ACCELERATE
14.89708,5.097325,10.18407,4.754781,4.902758,-5.705062,0.2791696,57.08034,8.102179,,LEFT_ACCELERATE
13.86001,4.662974,10.92051,4.326473,5.311512,-7.144439,0.2791649,57.4822,8.202518,,ACCELERATE
12.50027,4.207808,11.79248,3.904809,5.733775,-8.541379,0.2791619,57.88808,8.300184,,ACCELERATE
11.16586,3.724152,12.64603,3.44612,6.182267,-9.999792,0.2791603,58.32057,8.402313,,LEFT_ACCELERATE
11.84644,3.400079,12.28961,3.016395,6.477376,-11.41261,0.2791617,58.68475,8.500337,,LEFT_ACCELERATE
14.71365,3.283146,11.29403,2.72022,6.614599,-12.89843,0.2791685,58.9222,8.601492,,LEFT_ACCELERATE
15.15889,3.166665,11.02655,2.542217,6.741709,-14.38789,0.2791665,59.08374,8.7021,,LEFT_ACCELERATE
17.31984,3.28428,10.12683,2.451379,6.762855,-15.88633,0.2791709,59.15001,8.802937,,LEFT_ACCELERATE
-1,3.862594,8.869865,2.566581,6.650135,-17.36656,0.2791829,59.03082,8.902877,,LEFT_ACCELERATE
-1,4.644074,8.030976,2.847381,6.433558,-18.82436,0.2791739,58.76804,9.002426,,LEFT_ACCELERATE
-1,5.224396,7.587391,3.15449,6.146731,-20.30503,0.279166,58.47069,9.103835,,LEFT_ACCELERATE
-1,5.721036,7.204408,3.45233,5.879628,-21.72712,0.2791602,58.18743,9.201193,,LEFT_ACCELERATE
18.98752,5.957236,7.0319,3.755535,5.581275,-23.20068,0.2791609,57.88971,9.302128,,ACCELERATE
17.55217,6.009587,7.053079,4.009163,5.300616,-24.64783,0.2791601,57.61233,9.401054,,ACCELERATE
16.04793,5.937406,7.330718,4.185131,5.057463,-26.14238,0.2791606,57.3358,9.503096,,ACCELERATE
15.01528,5.877611,7.678474,4.292854,4.915027,-27.62802,0.27916,57.04671,9.604726,,LEFT_ACCELERATE
15.16003,6.082118,7.365898,4.434052,4.786831,-29.05095,0.2791671,56.65788,9.703909,,LEFT_ACCELERATE
14.81307,6.182892,7.369318,4.583945,4.62626,-30.40103,0.2791665,56.17201,9.800293,,LEFT_ACCELERATE
13.73478,6.026767,8.325919,4.660391,4.536802,-31.83107,0.2791638,55.62875,9.903007,,LEFT_ACCELERATE
13.40887,6.000868,8.795226,4.712214,4.492602,-33.16928,0.279164,55.0384,10.00129,,LEFT_ACCELERATE
12.39431,5.778503,-1,4.710741,4.512989,-34.50454,0.2791632,54.37992,10.10125,,LEFT_ACCELERATE
11.48964,5.497972,-1,4.624154,4.648328,-35.85203,0.279163,53.6862,10.20303,,LEFT_ACCELERATE
10.38188,5.123847,-1,4.488584,4.890244,-37.11461,0.2791611,52.98409,10.30003,,LEFT_ACCELERATE
9.495993,4.731469,-1,4.243858,5.225302,-38.40573,0.2791626,52.22405,10.40066,,LEFT_ACCELERATE
9.393409,4.50458,-1,3.982123,5.458432,-39.60447,0.27918,51.35294,10.50034,,LEFT_ACCELERATE
10.19284,4.496194,-1,3.798387,5.515657,-40.66938,0.2792056,50.29963,10.60127,,LEFT_ACCELERATE
12.08675,4.803157,12.71084,3.78091,5.428414,-41.51815,0.2792149,49.06079,10.70258,,LEFT_ACCELERATE
15.18968,5.408138,8.524472,3.960116,5.248209,-42.09974,0.2792197,47.71889,10.80138,,LEFT_ACCELERATE
-1,6.400731,6.650088,4.34716,4.978486,-42.42377,0.2792187,46.2704,10.90178,,LEFT_ACCELERATE
-1,7.589133,5.468479,4.890285,4.58714,-42.49711,0.2792055,44.81496,11.00032,,LEFT_ACCELERATE
-1,8.692921,4.597382,5.509851,4.038031,-42.39383,0.2791838,43.27135,11.10453,,ACCELERATE
-1,8.746388,4.288005,5.878753,3.491143,-42.30629,0.2791675,41.83886,11.20099,,RIGHT_ACCELERATE
-1,8.480346,4.342992,6.066241,3.172501,-42.32234,0.2791668,40.3358,11.30198,,ACCELERATE
-1,8.413513,4.416306,6.162408,3.036409,-42.36759,0.2791611,38.84696,11.40199,,ACCELERATE
-1,8.339135,4.497715,6.177324,3.024276,-42.42238,0.2791598,37.3671,11.50141,,ACCELERATE
-1,8.255528,4.589701,6.126517,3.084754,-42.48319,0.2791602,35.89425,11.60038,,ACCELERATE
-1,8.163361,4.691279,6.058485,3.152813,-42.55111,0.2791609,34.35498,11.70382,,ACCELERATE
-1,8.071216,4.792957,5.990282,3.221034,-42.61926,0.279159,32.87322,11.8034,,ACCELERATE
-1,7.976148,4.897888,5.919835,3.291489,-42.68978,0.279162,31.37978,11.90378,,ACCELERATE
-1,7.906188,4.983355,5.848978,3.360856,-42.75845,0.279161,29.90433,12.00294,,LEFT_ACCELERATE
-1,8.022335,4.916168,5.811772,3.390999,-42.79036,0.2791605,28.44788,12.10075,,ACCELERATE
-1,7.987582,4.953379,5.785169,3.417543,-42.81743,0.2791602,26.94077,12.20195,,ACCELERATE
-1,7.946062,4.99687,5.755264,3.447453,-42.84716,0.2791613,25.46049,12.30135,,ACCELERATE
-1,7.90232,5.042738,5.723715,3.479009,-42.87886,0.2791589,23.98525,12.40041,,ACCELERATE
-1,7.855885,5.091454,5.690149,3.512578,-42.91231,0.2791607,22.49519,12.50047,,ACCELERATE
-1,7.807512,5.142238,5.655116,3.547611,-42.94729,0.2791607,20.97963,12.60225,,ACCELERATE
-1,7.760223,5.191896,5.620842,3.581884,-42.98161,0.2791604,19.51997,12.70027,,ACCELERATE
-1,7.711123,5.243458,5.585235,3.617489,-43.01714,0.2791596,18.02547,12.80063,,ACCELERATE
-1,7.661548,5.295534,5.549265,3.653456,-43.05317,0.2791599,16.52222,12.90158,,ACCELERATE
-1,7.611686,5.347917,5.513071,3.689648,-43.08937,0.279161,15.01859,13.00255,,ACCELERATE
-1,7.561999,5.400099,5.477017,3.725698,-43.12559,0.2791597,13.51974,13.1032,,ACCELERATE
-1,7.513006,5.451546,5.441463,3.761249,-43.16119,0.2791605,12.04864,13.20199,,ACCELERATE
